date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2019-01-02,2330,32900482,7276419230,226.5,226.5,219.0,219.5,-6.0,12329
2019-01-03,2330,34615620,7459051790,214.0,218.0,214.0,215.5,-4.0,14549
2019-01-04,2330,67043521,13987136785,211.5,211.5,206.5,208.0,-7.5,28786
2019-01-07,2330,35695176,7591116569,212.0,214.0,211.0,213.0,5.0,11224
2019-01-08,2330,23794481,5019703557,212.0,212.5,210.0,211.0,-2.0,9377
2019-01-09,2330,51255446,11006827093,212.0,216.5,211.0,215.5,4.5,14098
2019-01-10,2330,20832593,4491377349,216.0,216.5,214.5,216.0,0.5,6018
2019-01-11,2330,28658288,6296719320,219.0,220.5,218.0,220.5,4.5,11198
2019-01-14,2330,17612296,3844735324,218.5,220.0,217.0,218.5,-2.0,6469
2019-01-15,2330,42990923,9399209983,216.5,221.0,215.5,221.0,2.5,11609
2019-01-16,2330,30038282,6563789758,218.5,220.0,217.5,217.5,-3.5,8950
2019-01-17,2330,21163986,4646131841,218.0,221.0,218.0,220.5,3.0,8288
2019-01-18,2330,52677569,11530053787,219.0,220.0,217.5,218.5,-2.0,15157
2019-01-21,2330,32515866,7208829658,220.0,223.0,220.0,221.0,2.5,10549
2019-01-22,2330,30958483,6854867566,220.0,223.0,219.0,223.0,2.0,8258
2019-01-23,2330,18671213,4121110926,221.5,222.0,220.0,220.5,-2.5,7059
2019-01-24,2330,31348924,6958753608,222.5,222.5,220.5,222.5,2.0,6291
2019-01-25,2330,48039764,10870045150,226.5,227.0,225.0,226.0,3.5,14979
2019-01-28,2330,29134257,6665379096,229.5,229.5,228.0,229.0,3.0,10189
2019-01-29,2330,42566520,9486156460,222.5,225.0,222.0,222.5,-6.5,13344
2019-01-30,2330,51889945,11453957730,220.5,221.5,220.0,221.0,-1.5,12858
2019-02-11,2330,81360106,18546167132,228.0,229.0,226.5,228.0,7.0,21689
2019-02-12,2330,30125670,6921488930,230.0,230.0,229.0,230.0,2.0,13313
2019-02-13,2330,28634925,6575201825,232.0,232.0,228.5,229.0,-1.0,10230
2019-02-14,2330,23647751,5392943977,229.5,230.0,226.0,227.0,-2.0,6873
2019-02-15,2330,22369799,5093773373,229.0,229.0,226.5,227.0,0.0,5743
2019-02-18,2330,18163916,4169729625,229.0,230.5,228.5,230.0,3.0,7035
2019-02-19,2330,18423023,4228108427,230.0,230.5,229.0,229.0,-1.0,6471
2019-02-20,2330,31887710,7430197670,231.5,234.5,231.0,234.5,5.5,14241
2019-02-21,2330,34013489,8013908284,235.5,236.5,234.5,236.5,2.0,11443
2019-02-22,2330,22032163,5187054985,235.5,236.5,234.0,236.5,0.0,6913
2019-02-25,2330,25227138,5995746054,237.5,239.0,236.0,238.0,1.5,8527
2019-02-26,2330,24586789,5864298571,239.0,240.0,236.5,239.5,1.5,7994
2019-02-27,2330,37947889,9052540803,238.5,239.5,237.0,239.0,-0.5,9931
